uid,gene_id,direction,padj,log2FoldChange,source
BM_0,ENSG00000115414,up,5.576509758991891e-52,3.16743363677005,tnbc140226
BM_1,ENSG00000115290,up,1.90298109523584e-35,2.7665452702584,tnbc140226
BM_2,ENSG00000164099,up,1.3683017615807e-27,2.58369119261357,tnbc140226
BM_3,ENSG00000117594,up,4.8828989930259e-23,2.50568574198806,tnbc140226
BM_4,ENSG00000169245,up,2.70647869412955e-22,6.61142801928446,tnbc140226
BM_5,ENSG00000112183,up,3.70397262966535e-22,1.67137097684291,tnbc140226
BM_6,ENSG00000104368,up,1.34043349907786e-20,1.28594265273587,tnbc140226
BM_7,ENSG00000183160,up,7.06471302999346e-20,2.32439238547794,tnbc140226
BM_8,ENSG00000127955,up,1.11346101300907e-18,2.01062074548231,tnbc140226
BM_9,ENSG00000102468,up,2.60082053745056e-18,3.97028564968397,tnbc140226
BM_10,ENSG00000234745,up,1.08825544519753e-14,1.87514402037196,tnbc140226
BM_11,ENSG00000144331,up,1.3078443407076701e-14,1.36100370236367,tnbc140226
BM_12,ENSG00000127863,up,3.88901688313919e-14,1.23149405676373,tnbc140226
BM_13,ENSG00000128564,up,1.01637392958462e-13,1.39329308709821,tnbc140226
BM_14,ENSG00000120217,up,2.7720647457052897e-12,2.07114264506738,tnbc140226
BM_15,ENSG00000039560,up,7.08080787207902e-11,1.25564199308157,tnbc140226
BM_16,ENSG00000105928,up,4.45504126722413e-10,1.13072596315407,tnbc140226
BM_17,ENSG00000154027,up,5.41057940366859e-10,1.14589832669742,tnbc140226
BM_18,ENSG00000164683,up,2.36668711328921e-09,2.22400757375833,tnbc140226
BM_19,ENSG00000154153,up,4.08276502945741e-09,1.46616922913954,tnbc140226
BM_20,ENSG00000073756,up,4.35891225088173e-09,1.65911808775405,tnbc140226
BM_21,ENSG00000196878,up,8.54531389170539e-09,1.23940580174451,tnbc140226
BM_22,ENSG00000175513,up,4.61916425276329e-08,2.28663581975727,tnbc140226
BM_23,ENSG00000095397,up,6.64630096922569e-08,1.12111266979321,tnbc140226
BM_24,ENSG00000196358,up,6.69721217112934e-08,1.49541813750239,tnbc140226
BM_25,ENSG00000065534,up,1.66327016065595e-07,1.46799055735374,tnbc140226
